"id","scientific.name","accepted.name","family","taxon.rank","taxon.status","search.str","threat.status","notes","original.search","life.form","habitat","vegetation.type","occurrence","establishment","domain","endemism","redlist","Seed.type","Sind","seeddiam","wooden","Tre.size.max","SeedMass_g","MaxHeight_m","MaxDbh_cm","LeafArea","succesional.group","ecological.group","Deciduousness","endemism1","Species","MAT","MAP","MAET","AI","Elev","pH","OC","TN","CEC","Clay","Silt","Sand","NPP","LMA","Nmass","Pmass","NPratio","scientificName","scientificNameStatus"
17456,"Alchornea glandulosa Poepp. & Endl.",NA,"Euphorbiaceae","species","accepted","Alchornea glandulosa",NA,NA,"Alchornea glandulosa","Arbusto|Árvore",NA,"Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)|Restinga","BR-AC|BR-AM|BR-BA|BR-DF|BR-ES|BR-MG|BR-MT|BR-PR|BR-RJ|BR-SC|BR-SE|BR-SP","native","Amazônia|Cerrado|Mata Atlântica","Não endemica","Least Concern","orthodox","zoochoric","5","0.4",20,"0.032664103","25","58.19164781","97.09468541","pioneer",1,"NA:98|evergreen:4|semideciduous:1","not_endemic","Alchornea glandulosa Poepp. & Endl.",15.4,1698.33333333333,953,1.78,1261.33333333333,5.03333333333333,49.1666666666667,4.52666666666667,18.6333333333333,273.333333333333,217.666666666667,508.666666666667,1.65,79.6333333333333,31.5,NA,NA,"Alchornea glandulosa Poepp. & Endl.","name_w_authors"
17458,"Alchornea triplinervia (Spreng.) MÃ¼ll.Arg.",NA,"Euphorbiaceae","species","accepted","Alchornea triplinervia",NA,NA,"Alchornea triplinervia","Arbusto|Árvore|Liana/volúvel/trepadeira","Terrícola","Caatinga (stricto sensu)|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta de Várzea|Floresta Ombrófila (= Floresta Pluvial)|Restinga|Savana Amazônica","BR-AC|BR-AM|BR-BA|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PE|BR-PR|BR-RJ|BR-RO|BR-RR|BR-RS|BR-SC|BR-SP","native","Amazônia|Caatinga|Cerrado|Mata Atlântica","Não endemica","Least Concern","orthodox","zoochoric","4.1","0.49",30,"0.058980838","30.2","110.454","47.05888045","early_secondary",2,"NA:91|deciduous:2|evergreen:2","not_endemic","Alchornea triplinervia (Spreng.) MÃ¼ll.Arg.",19.0818181818182,1991,1013.09090909091,1.95727272727273,571,5,65.0727272727273,4.04090909090909,21.0818181818182,319.545454545455,282.545454545455,397.909090909091,1.76545454545455,81.7727272727273,31.3,NA,NA,"Alchornea triplinervia (Spreng.) MÃ¼ll.Arg.","name_w_authors"
22783,"Anadenanthera peregrina (L.) Speg.",NA,"Fabaceae","species","accepted","Anadenanthera peregrina",NA,NA,"Anadenanthera peregrina",NA,NA,NA,"BR-AC","native","Amazônia|Caatinga|Cerrado|Mata Atlântica","Não endemica","Least Concern","orthodox","abiotic","14","1.08",22,"0.083962914","22","76.50837519","0.035473817","early_secondary",2,"NA:48|deciduous:4|evergreen:1","not_endemic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22796,"Apuleia leiocarpa (Vogel) J.F.Macbr.",NA,"Fabaceae","species","accepted","Apuleia leiocarpa","VU",NA,"Apuleia leiocarpa","Árvore","Terrícola","Área Antrópica|Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)","BR-AC|BR-AL|BR-AM|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO","native","Amazônia|Caatinga|Cerrado|Mata Atlântica","Não endemica","Vulnerable","orthodox","abiotic","6.21","0.8371",35,"0.05978637","28","59.19044108","6.555129421","early_secondary",2,"NA:104|deciduous:4","not_endemic","Apuleia leiocarpa (Vogel) J.F.Macbr.",23.1666666666667,1278.66666666667,1302.33333333333,0.98,307.666666666667,5.36666666666667,36.6333333333333,2.48,14.1666666666667,314.666666666667,200.666666666667,484.333333333333,1.32,68.3333333333333,NA,NA,NA,"Apuleia leiocarpa (Vogel) J.F.Macbr.","name_w_authors"
343,"Balfourodendron riedelianum (Engl.) Engl.",NA,"Rutaceae","species","accepted","Balfourodendron riedelianum","NT",NA,"Balfourodendron riedelianum","Árvore","Terrícola","Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)","BR-MG|BR-MS|BR-PR|BR-RS|BR-SC|BR-SP","native","Cerrado|Mata Atlântica","Não endemica","Endangered",NA,"abiotic","12","0.85",30,"0.454081633","32.7","90","25.49926037","early_secondary",2,"NA:42|deciduous:3|semideciduous:1","NES_SouthAmerica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5745,"Bixa orellana L.",NA,"Bixaceae","species","accepted","Bixa orellana",NA,NA,"Bixa orellana","Arbusto|Árvore","Terrícola","Área Antrópica|Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta de Várzea|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Restinga|Savana Amazônica","BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO","native","Amazônia|Cerrado|Mata Atlântica","Não endemica","Least Concern","orthodox","zoochoric","3.5","0.34",5,"0.025","15","24","107.4408138","pioneer",1,"NA:12|evergreen:5","not_endemic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8541,"Cariniana estrellensis (Raddi) Kuntze",NA,"Lecythidaceae","species","accepted","Cariniana estrellensis",NA,NA,"Cariniana estrellensis","Árvore","Terrícola","Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)","BR-AC|BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP","native","Amazônia|Cerrado|Mata Atlântica","Não endemica",NA,"orthodox","abiotic","11.4","0.68034",45,"0.075702076","35.6","96.77","28.08342885","late_secondary",3,"NA:115|deciduous:3|semideciduous:2","not_endemic","Cariniana estrellensis (Raddi) Kuntze",21.9,1408,1299,1.08,706,5.2,27.4,1.81,12.3,371,178,450,0.86,108.7,NA,NA,NA,"Cariniana estrellensis (Raddi) Kuntze","name_w_authors"
8543,"Cariniana legalis (Mart.) Kuntze",NA,"Lecythidaceae","species","accepted","Cariniana legalis","EN",NA,"Cariniana legalis","Árvore","Terrícola","Área Antrópica|Floresta Ombrófila (= Floresta Pluvial)","BR-BA|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-SP","native","Mata Atlântica","Endemica","Vulnerable","orthodox","abiotic","8.2","0.515",50,"0.035778428","40","149.4101434","10.6912325","late_secondary",3,"NA:58|deciduous:1|semideciduous:1","NES_SouthAmerica","Cariniana legalis (Mart.) Kuntze",21.3,1374,1273,1.08,554,5.5,23.8,2.03,13.2,361,214,425,1.04,72.3,24,0.97,24.9,"Cariniana legalis (Mart.) Kuntze","name_w_authors"
15136,"Citharexylum myrianthum Cham.",NA,"Verbenaceae","species","accepted","Citharexylum myrianthum",NA,NA,"Citharexylum myrianthum","Árvore","Terrícola","Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista","BR-AL|BR-BA|BR-CE|BR-ES|BR-MA|BR-MG|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP","native","Caatinga|Cerrado|Mata Atlântica","Não endemica",NA,"orthodox","zoochoric","5.5","0.6",20,"0.07037037","19.4","50.55","58.90486225","pioneer",1,"NA:28|deciduous:2","NES_SouthAmerica","Citharexylum myrianthum Cham.",22.3,1311.5,1248.5,1.045,285.5,5.6,47.3,3.03,15.9,306,198,496,1.4,86.3,NA,NA,NA,"Citharexylum myrianthum Cham.","name_w_authors"
22896,"Copaifera langsdorffii Desf.",NA,"Fabaceae","species","accepted","Copaifera langsdorffii",NA,NA,"Copaifera langsdorffii","Árvore","Terrícola","Área Antrópica|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)","BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-SP|BR-TO","native","Amazônia|Caatinga|Cerrado|Mata Atlântica","Não endemica","Least Concern","orthodox","zoochoric","11","0.75",15,"1.054913992","28","77.19718634","13.79810116","late_secondary",3,"NA:183|deciduous:5|evergreen:1|semideciduous:1","not_endemic","Copaifera langsdorffii Desf.",19.6333333333333,1491,1149.33333333333,1.32666666666667,669.166666666667,5.2,39.3166666666667,2.93666666666667,15.6166666666667,336.333333333333,203.5,460,1.41833333333333,97.25,24.4,1.135,21.75,"Copaifera langsdorffii Desf.","name_w_authors"
