lon;lat;species;cells;wc_bio02;wc_bio03;wc_bio05;wc_bio14;wc_bio18
-41,157786;-19,640767;Byrsonima sericea;110122;24,70000076;19,78333282;199;196,0557861;23,85000038
-39,957005;-19,248295;Naucleopsis oblongifolia;87330;25,89999962;21,16666603;183;193,6193237;25,06666565
-39,956185;-19,247983;Sloanea retusa;87330;25,89999962;21,16666603;183;193,6193237;25,06666565
-40,001503;-19,260807;Psidium gaudichaudianum;88300;25,98333359;21,25;184;192,8312836;25,14999962
-40,756644;-19,230765;Myrocarpus fastigiatus;86258;25,88333321;21,04999924;187;193,2418976;25,01666641
-40,904233;-19,413464;Chrysophyllum gonocarpum;96976;25,75;20,89999962;192;192,3715668;24,85000038
-40,810033;-19,224364;Handroanthus umbellatus;85763;25,26666641;20,46666718;190;191,3330536;24,38333321
-39,981268;-19,22937;Eugenia handroi;86351;25,85000038;21,13333321;181;191,9556427;25
-40,181728;-19,233789;Trichilia emarginata;86815;26,14999962;21,39999962;181;192,4640808;25,23333359
-40,181148;-19,233765;Psidium brownianum;86815;26,14999962;21,39999962;181;192,4640808;25,23333359
-40,181844;-19,234041;Erythroxylum macrocalyx;86815;26,14999962;21,39999962;181;192,4640808;25,23333359
-39,988417;-19,247167;Matayba guianensis;87326;25,85000038;21,14999962;182;191,3998413;25
-40,356239;-19,222198;Inga cylindrica;85818;25,66666603;20,86666679;185;193,3099823;24,81666756
-40,105599;-19,289629;Eugenia ellipsoidea;89752;25,93333435;21,21666718;184;191,7754822;25,06666565
-41,236593;-19,481812;Calophyllum brasiliense;100840;25,78333282;20,85000038;196;196,445694;24,95000076
-40,000184;-19,433298;Ocotea spectabilis;98060;25,89999962;21,11666679;186;195,5000305;25,03333282
-39,844491;-19,550072;Alatococcus siqueirae;105399;25,93333435;21,20000076;186;193,6609039;25,03333282
-40,82924;-19,477479;Piper aduncum;100889;24,33333397;19,48333359;196;193,9711609;23,5
-39,925132;-19,234813;Ficus arpazusa;86845;26,01666641;21,25;182;194,2365417;25,16666603
-39,979362;-19,238435;Coussapoa microcarpa;86839;25,85000038;21,14999962;181;191,3998413;25
-39,949368;-19,245515;Pouteria bullata;87331;25,98333359;21,25;182;192,9490814;25,13333321
-39,961724;-19,246652;Exellodendron gracile;87329;25,88333321;21,16666603;182;192,7015839;25,06666565
-39,961724;-19,246652;Pouteria bangii;87329;25,88333321;21,16666603;182;192,7015839;25,06666565
