,id,scientific.name,original.search,accepted.name,family,taxon.rank,taxon.status,search.str,threat.status.cnc,threat.status.mma,notes
72,100915,Abarema barnebyana Iganci & M.P.Morim,Abarema barnebyana,NA,Fabaceae,species,accepted,Abarema barnebyana,NA,NA,
1162,82544,Abarema brachystachya (DC.) Barneby & J.W.Grimes,Abarema brachystachya,NA,Fabaceae,species,accepted,Abarema brachystachya,LC,NA,
199,17974,Abarema cochliacarpos (Gomes) Barneby & J.W.Grimes,Abarema cochliacarpos,NA,Fabaceae,species,accepted,Abarema cochliacarpos,LC,NA,
149,17975,Abarema filamentosa (Benth.) Pittier,Abarema filamentosa,NA,Fabaceae,species,accepted,Abarema filamentosa,LC,NA,
1289,100917,Abarema villosa Iganci & M.P.Morim,Abarema villosa,NA,Fabaceae,species,accepted,Abarema villosa,NA,NA,
864,611526,Acacia mangium Willd.,Acacia mangium,NA,Fabaceae,species,accepted,Acacia mangium,NA,NA,
821,22666,Acalypha diversifolia Jacq.,Acalypha diversifolia,NA,Euphorbiaceae,species,accepted,Acalypha diversifolia,NA,NA,
801,17446,Acalypha villosa Jacq.,Acalypha villosa,NA,Euphorbiaceae,species,accepted,Acalypha villosa,NA,NA,
805,602888,Acanthocladus dichromus (Steud.) J.F.B.Pastore,Acanthocladus dichromus,NA,Polygalaceae,species,accepted,Acanthocladus dichromus,NA,NA,
109,103171,Acanthocladus pulcherrimus (Kuhlm.) J.F.B.Pastore & D.B.O.S.Cardoso,Acanthocladus pulcherrimus,NA,Polygalaceae,species,accepted,Acanthocladus pulcherrimus,NT,NA,
950,10258,Accara elegans (DC.) Landrum,Accara elegans,NA,Myrtaceae,species,accepted,Accara elegans,EN,EN,
540,15918,Acritopappus confertus (Gardner) R.M.King & H.Rob.,Acritopappus confertus,NA,Asteraceae,species,accepted,Acritopappus confertus,NA,NA,
252,17448,Actinostemon concolor (Spreng.) Müll.Arg.,Actinostemon concolor,NA,Euphorbiaceae,species,accepted,Actinostemon concolor,NA,NA,
138,25459,Actinostemon klotzschii (Didr.) Pax,Actinostemon klotzschii,NA,Euphorbiaceae,species,accepted,Actinostemon klotzschii,NA,NA,
883,8104,Aegiphila brachiata Vell.,Aegiphila brachiata,NA,Lamiaceae,species,accepted,Aegiphila brachiata,NA,NA,
1157,8107,Aegiphila fluminensis Vell.,Aegiphila fluminensis,NA,Lamiaceae,species,accepted,Aegiphila fluminensis,NA,NA,
688,23320,Aegiphila integrifolia (Jacq.) Moldenke,Aegiphila integrifolia,NA,Lamiaceae,species,accepted,Aegiphila integrifolia,NA,NA,
942,8116,Aegiphila obducta Vell.,Aegiphila obducta,NA,Lamiaceae,species,accepted,Aegiphila obducta,NA,NA,
691,8120,Aegiphila verticillata Vell.,Aegiphila verticillata,NA,Lamiaceae,species,accepted,Aegiphila verticillata,NA,NA,
469,122010,Agarista eucalyptoides (Cham. & Schltdl.) G.Don,Agarista eucalyptoides,NA,Ericaceae,species,accepted,Agarista eucalyptoides,NA,NA,
885,25444,Agarista glaberrima (Sleumer) Judd,Agarista glaberrima,NA,Ericaceae,species,accepted,Agarista glaberrima,NA,NA,
891,7462,Agarista oleifolia (Cham.) G.Don,Agarista oleifolia,NA,Ericaceae,species,accepted,Agarista oleifolia,NA,NA,
980,7466,Agarista pulchra (Cham. & Schltdl.) G.Don,Agarista pulchra,NA,Ericaceae,species,accepted,Agarista pulchra,NT,NA,
312,7467,Agarista revoluta (Spreng.) J.D. Hook. ex Nied.,Agarista revoluta,NA,Ericaceae,species,accepted,Agarista revoluta,NA,NA,
1161,607775,Aiouea glaziovii (Mez) R.Rohde,Aiouea glaziovii,NA,Lauraceae,species,accepted,Aiouea glaziovii,NA,NA,
549,17918,Aiouea laevis (Mart.) Kosterm.,Aiouea laevis,NA,Lauraceae,species,accepted,Aiouea laevis,NA,NA,
435,8381,Aiouea saligna Meisn.,Aiouea saligna,NA,Lauraceae,species,accepted,Aiouea saligna,NA,NA,
161,128980,Alatococcus siqueirae Acev.-Rodr.,Alatococcus siqueirae,NA,Sapindaceae,species,accepted,Alatococcus siqueirae,NA,NA,
939,611714,Albizia lebbeck (L.) Benth.,Albizia lebbeck,NA,Fabaceae,species,accepted,Albizia lebbeck,NA,NA,
1197,18067,Albizia polycephala (Benth.) Killip ex Record,Albizia polycephala,NA,Fabaceae,species,accepted,Albizia polycephala,NA,NA,
73,17456,Alchornea glandulosa Poepp. & Endl.,Alchornea glandulosa,NA,Euphorbiaceae,species,accepted,Alchornea glandulosa,NA,NA,
289,17458,Alchornea triplinervia (Spreng.) Müll.Arg.,Alchornea triplinervia,NA,Euphorbiaceae,species,accepted,Alchornea triplinervia,NA,NA,
562,20682,Alibertia edulis (Rich.) A.Rich.,Alibertia edulis,NA,Rubiaceae,species,accepted,Alibertia edulis,NA,NA,
1080,611763,Allium sativum L.,Allium sativum,NA,Amaryllidaceae,species,accepted,Allium sativum,NA,NA,
527,20873,Allophylus edulis (A.St.-Hil. et al.) Hieron. ex Niederl.,Allophylus edulis,NA,Sapindaceae,species,accepted,Allophylus edulis,NA,NA,
1158,111555,Allophylus leucoclados Radlk.,Allophylus leucoclados,NA,Sapindaceae,species,accepted,Allophylus leucoclados,NA,NA,
899,20875,Allophylus petiolulatus Radlk.,Allophylus petiolulatus,NA,Sapindaceae,species,accepted,Allophylus petiolulatus,NA,NA,
507,32703,Allophylus puberulus (Cambess.) Radlk.,Allophylus puberulus,NA,Sapindaceae,species,accepted,Allophylus puberulus,LC,NA,
523,20877,Allophylus semidentatus (Miq.) Radlk.,Allophylus semidentatus,NA,Sapindaceae,species,accepted,Allophylus semidentatus,LC,NA,
727,15131,Aloysia virgata (Ruiz & Pav.) Juss.,Aloysia virgata,NA,Verbenaceae,species,accepted,Aloysia virgata,NA,NA,
870,13825,Alseis floribunda Schott,Alseis floribunda,NA,Rubiaceae,species,accepted,Alseis floribunda,NA,NA,
1327,90852,Alsophila capensis (L.f.) J.Sm.,Alsophila capensis,NA,Cyatheaceae,species,accepted,Alsophila capensis,LC,NA,
1438,603790,Alsophila salvinii Hook.,Alsophila salvinii,NA,Cyatheaceae,species,accepted,Alsophila salvinii,NA,NA,
1146,90858,Alsophila setosa Kaulf.,Alsophila setosa,NA,Cyatheaceae,species,accepted,Alsophila setosa,NA,NA,
923,90859,Alsophila sternbergii (Sternb.) D.S.Conant,Alsophila sternbergii,NA,Cyatheaceae,species,accepted,Alsophila sternbergii,NA,NA,
478,13829,Amaioua guianensis Aubl.,Amaioua guianensis,NA,Rubiaceae,species,accepted,Amaioua guianensis,NA,NA,
446,13830,Amaioua intermedia Mart. ex Schult. & Schult.f.,Amaioua intermedia,NA,Rubiaceae,species,accepted,Amaioua intermedia,NA,NA,
1046,13831,Amaioua pilosa K.Schum.,Amaioua pilosa,NA,Rubiaceae,species,accepted,Amaioua pilosa,NA,NA,
700,22781,Amburana cearensis (Allemão) A.C.Sm.,Amburana cearensis,NA,Fabaceae,species,accepted,Amburana cearensis,NT,NA,
1257,79742,Ampelocera glabra Kuhlm.,Ampelocera glabra,NA,Ulmaceae,species,accepted,Ampelocera glabra,NA,NA,
55,15220,Amphirrhox longifolia (A.St.-Hil.) Spreng.,Amphirrhox longifolia,NA,Violaceae,species,accepted,Amphirrhox longifolia,NA,NA,
703,4381,Anacardium occidentale L.,Anacardium occidentale,NA,Anacardiaceae,species,accepted,Anacardium occidentale,NA,NA,
490,18071,Anadenanthera colubrina (Vell.) Brenan,Anadenanthera colubrina,NA,Fabaceae,species,accepted,Anadenanthera colubrina,NA,NA,
708,22783,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina,NA,Fabaceae,species,accepted,Anadenanthera peregrina,NA,NA,
29,110226,Anaxagorea dolichocarpa Sprague & Sandwith,Anaxagorea dolichocarpa,NA,Annonaceae,species,accepted,Anaxagorea dolichocarpa,LC,NA,
1348,110234,Anaxagorea silvatica R.E.Fr.,Anaxagorea silvatica,NA,Annonaceae,species,accepted,Anaxagorea silvatica,NT,NA,
910,29439,Andira anthelmia (Vell.) Benth.,Andira anthelmia,NA,Fabaceae,species,accepted,Andira anthelmia,NA,NA,
321,29442,Andira fraxinifolia Benth.,Andira fraxinifolia,NA,Fabaceae,species,accepted,Andira fraxinifolia,NA,NA,
1113,29445,Andira ormosioides Benth.,Andira ormosioides,NA,Fabaceae,species,accepted,Andira ormosioides,NA,NA,
1335,10900,Andradea floribunda Allemão,Andradea floribunda,NA,Nyctaginaceae,species,accepted,Andradea floribunda,LC,NA,
198,285,Angostura bracteata (Nees & Mart.) Kallunki,Angostura bracteata,NA,Rutaceae,species,accepted,Angostura bracteata,NA,NA,
847,23347,Aniba canelilla (Kunth) Mez,Aniba canelilla,NA,Lauraceae,species,accepted,Aniba canelilla,NA,NA,
454,8383,Aniba firmula (Nees & Mart.) Mez,Aniba firmula,NA,Lauraceae,species,accepted,Aniba firmula,NA,NA,
