"scientificName.new","MAT","MAP","MAET","AI","Elev","pH","OC","TN","CEC","Clay","Silt","Sand","NPP","LMA","Nmass","Pmass","NPratio","family.x","life.form","habitat","vegetation.type","occurrence","domain","endemism.x","N.x","redlistCategory","redlist","Genus","Seed.type","Sind","fdiam","flen","seeddiam","seedlen","wooden","Tre.size.max","scientific.name","id","family.y","genus","taxon.rank","extinction","establishment.AF","habito","wsg_gcm3","dispersal.syndrome","endemism.y","SeedMass_g","MaxHeight_m","LeafType","MaxDbh_cm","LeafArea","ecological.group","succesional.group","LT","Deciduousness","SexualSystem","PollinationSyndrome","habito1","extinction1","endemism1"
"Abarema cochliacarpos",24.75,1543,1418,1.085,131.5,5.2,33.85,NA,14.5,247,202.5,550,1.44,74.8,NA,NA,NA,"Fabaceae","Árvore","Terrícola","Cerrado (lato sensu)|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Restinga","BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-RJ|BR-RN|BR-SE|BR-SP","Cerrado|Mata Atlântica","Endemica",2,"LC","Least Concern","Abarema","orthodox","zoochoric",7,75,8,10,NA,30,"Abarema cochliacarpos (Gomes) Barneby & J.W.Grimes",17974,"Fabaceae","Abarema","species",0,"native",1,0.578571037083333,"zoochoric",1,0.229852847846154,30,"compostas",50.92958179,8.79449593464293,2,"early_secondary",NA,"NA:7|deciduous:1","NA:8","NA:8","tree","LC","NES_SouthAmerica"
"Actinostemon concolor",18.675,1713.75,1171.75,1.47,433.75,5.23333333333333,42.6333333333333,NA,20.2333333333333,360.333333333333,263,376.666666666667,1.02,85.925,25.7,NA,NA,"Euphorbiaceae","Arbusto|Árvore","Terrícola","Caatinga (stricto sensu)|Floresta de Terra Firme|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Restinga","BR-AM|BR-AP|BR-BA|BR-CE|BR-ES|BR-MG|BR-PA|BR-PE|BR-PR|BR-RJ|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP","Amazônia|Caatinga|Mata Atlântica","Não endemica",5,"Least Concern","Least Concern","Actinostemon","orthodox","abiotic",7.04,11.78,3.46,6.1,0.378,8,"Actinostemon concolor (Spreng.) Müll.Arg.",17448,"Euphorbiaceae","Actinostemon","species",0,"native",1,0.907,"autochoric",0,NA,14.778,"simples",28.862395545,25.0345664582937,3,"late_secondary",4,"NA:80|deciduous:1|evergreen:1","NA:82","NA:80|anemofilia:1|nao_especializado:1","tree","LC","not_endemic"
"Actinostemon klotzschii",21.3,1374,1273,1.08,554,5.5,23.8,NA,13.2,361,214,425,1.04,44.2,27.7,1.44,19.3,"Euphorbiaceae","Arbusto|Árvore","Terrícola","Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Ombrófila (= Floresta Pluvial)","BR-BA|BR-CE|BR-ES|BR-MA|BR-MG|BR-PA|BR-PR|BR-RJ|BR-SP","Amazônia|Mata Atlântica","Não endemica",4,"Least Concern","Least Concern","Actinostemon","orthodox","abiotic",NA,NA,NA,NA,NA,18,"Actinostemon klotzschii (Didr.) Pax",25459,"Euphorbiaceae","Actinostemon","species",0,"native",1,0.907,"autochoric",1,NA,9,"simples",13.050493731,NA,3,"late_secondary",NA,"NA:42|deciduous:2","NA:44","NA:42|melitofilia:1|nao_especializado:1","tree","LC","NES_SouthAmerica"
"Aegiphila integrifolia",20.7,1690,1308,1.29,1089,5.1,22.1,NA,10.1,484,269,247,1.04,78.2,NA,NA,NA,"Lamiaceae","Arbusto|Árvore","Terrícola","Área Antrópica|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Restinga|Savana Amazônica","BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO","Amazônia|Caatinga|Cerrado|Mata Atlântica","Não endemica",15,"Least Concern","Least Concern","Aegiphila","orthodox","zoochoric",8,9,7,8,0.43,15,"Aegiphila integrifolia (Jacq.) Moldenke",23320,"Lamiaceae","Aegiphila","species",0,"native",1,0.4859,"zoochoric",0,0.0157311538461538,15,"simples",25.622817131,171.414279607694,1,"pioneer",3,"NA:95|deciduous:6","NA:100|unisexual or hermaphrodite:1","NA:96|entomofilia:2|zoofilia:2|melitofilia:1","tree","LC","not_endemic"
"Aegiphila verticillata",19.75,1502.75,1223.5,1.2275,908.5,5.16666666666667,29.9,NA,13.6333333333333,359.333333333333,221,419.666666666667,1.14,102,26.7,NA,NA,"Lamiaceae","Arbusto|Árvore|Subarbusto","Terrícola","Caatinga (stricto sensu)|Campo de Altitude|Campo rupestre|Carrasco|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Restinga|Savana Amazônica","BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RO|BR-SC|BR-SE|BR-SP|BR-TO","Amazônia|Caatinga|Cerrado|Mata Atlântica|Pantanal","Não endemica",4,"Least Concern","Least Concern","Aegiphila","orthodox","zoochoric",5.1,7.4,3,NA,0.68,10,"Aegiphila verticillata Vell.",8120,"Lamiaceae","Aegiphila","species",0,"native",1,0.59375,"zoochoric",0,0.0668481548699335,10.4,"simples",27.37465021,69.9004365423729,1,"pioneer",3,"NA:47|deciduous:3","NA:49|unisexual (having either functionally male or functionally female flowers):1","NA:49|zoofilia:1","tree","LC","not_endemic"
"Aiouea glaziovii",15.7,1952,956,2.04,919,5.15,91.65,NA,25.15,485.5,335,179.5,1.93,84.8,NA,NA,NA,"Lauraceae","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)","BR-RJ","Mata Atlântica","Endemica",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aiouea glaziovii (Mez) R.Rohde",607775,"Lauraceae","Aiouea","species",0,"native",1,0.61195,"zoochoric",3,0.161290322580645,28.9,"simples",75.21269069,27.4889357189107,4,"climax",3,"NA:31|semideciduous:1","NA:32","NA:27|zoofilia:5","tree","LC","local"
"Alchornea glandulosa",16.825,1644.75,1041.75,1.6175,1158,5.075,42.325,NA,16.45,315,206.25,478.5,1.4475,73.525,31.5,NA,NA,"Euphorbiaceae","Arbusto|Árvore",NA,"Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)|Restinga","BR-AC|BR-AM|BR-BA|BR-DF|BR-ES|BR-MG|BR-MT|BR-PR|BR-RJ|BR-SC|BR-SE|BR-SP","Amazônia|Cerrado|Mata Atlântica","Não endemica",8,"Least Concern","Least Concern","Alchornea","orthodox","zoochoric",6,9,5,8,0.4,20,"Alchornea glandulosa Poepp. & Endl.",17456,"Euphorbiaceae","Alchornea","species",0,"native",1,0.387385834,"zoochoric",0,0.0326641031410256,25,"simples",58.191647812,97.0946854088238,1,"pioneer",3.17,"NA:98|evergreen:4|semideciduous:1","NA:99|unisexual (dioecious):3|dioecious:1","NA:97|anemofilia:3|zoofilia:3","tree","LC","not_endemic"
"Alchornea triplinervia",19.0818181818182,1991,1013.09090909091,1.95727272727273,571,5,65.0727272727273,NA,21.0818181818182,319.545454545455,282.545454545455,397.909090909091,1.76545454545455,81.7727272727273,31.3,NA,NA,"Euphorbiaceae","Arbusto|Árvore|Liana/volúvel/trepadeira","Terrícola","Caatinga (stricto sensu)|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta de Várzea|Floresta Ombrófila (= Floresta Pluvial)|Restinga|Savana Amazônica","BR-AC|BR-AM|BR-BA|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PE|BR-PR|BR-RJ|BR-RO|BR-RR|BR-RS|BR-SC|BR-SP","Amazônia|Caatinga|Cerrado|Mata Atlântica","Não endemica",13,"Least Concern","Least Concern","Alchornea","orthodox","zoochoric",4.7,5.8,4.1,5.8,0.49,30,"Alchornea triplinervia (Spreng.) Müll.Arg.",17458,"Euphorbiaceae","Alchornea","species",0,"native",1,0.424935594538462,"zoochoric",0,0.058980838018018,30.2,"simples",110.454,47.0588804491525,2,"early_secondary",3.72,"NA:91|deciduous:2|evergreen:2","NA:94|unisexual (dioecious):1","NA:89|zoofilia:3|entomofilia:2|anemofilia:1","tree","LC","not_endemic"
"Allophylus edulis",17.8375,1497.5,1090,1.40875,676.875,5.16666666666667,61.9666666666667,NA,20.7166666666667,360.166666666667,303.333333333333,336.5,1.66,64.7875,NA,NA,NA,"Sapindaceae","Arbusto|Árvore","Terrícola","Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista","BR-AL|BR-BA|BR-CE|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO","Amazônia|Caatinga|Cerrado|Mata Atlântica|Pantanal","Não endemica",7,"Least Concern","Least Concern","Allophylus","orthodox","zoochoric",7.86,8.73,5.74,7.69,0.65,20,"Allophylus edulis (A.St.-Hil. et al.) Hieron. ex Niederl.",20873,"Sapindaceae","Allophylus","species",0,"native",1,0.57725,"zoochoric",0,0.0659114593802345,18.975,"compostas",38.46,26.5834900230417,2,"early_secondary",2.925,"NA:88|deciduous:2|evergreen:2|semideciduous:1","NA:89|polygamodioecious (mostly dioecious, but with either a few flowers of the opposite sex or a few bisexual flowers on the same plant):2|monoecious:1|unisexual (having either functionally male or functionally female flowers):1","NA:91|zoofilia:2","tree","LC","not_endemic"
"Allophylus puberulus",23.4,446,1334,0.33,395,6.6,24.9,NA,20.2,182,217,601,1,68.6,NA,NA,NA,"Sapindaceae","Arbusto|Árvore","Terrícola","Área Antrópica|Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)|Restinga","BR-AL|BR-BA|BR-CE|BR-ES|BR-MA|BR-MG|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-SE|BR-SP|BR-TO","Amazônia|Caatinga|Cerrado|Mata Atlântica","Endemica",1,"LC","Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allophylus puberulus (Cambess.) Radlk.",32703,"Sapindaceae","Allophylus","species",0,"native",1,0.555473684210526,"zoochoric",1,0.0857344414504336,15.8,"compostas",27.115,8.91672352382166,2,"early_secondary",3,"NA:10","NA:9|unisexual (having either functionally male or functionally female flowers):1","NA:10","tree","LC","NES_SouthAmerica"
