"species","Reference","scientificName","scientificName.new","scientificNameStatus","LMA","Seed.type","seeddiam","dispersal.syndrome","wooden","SeedMass_g","MaxHeight_m"
"Aegiphila integrifolia (Jacq.) Moldenke","Barbosa et al. 2017","Aegiphila integrifolia (Jacq.) Moldenke","Aegiphila integrifolia","name_w_authors",78.2,"orthodox",7,"zoochoric",0.43,0.0157311538461538,15
"Aegiphila verticillata","caminhosdasemente.org.br, Barbosa et al. 2017","Aegiphila verticillata","Aegiphila verticillata","possibly_ok",102,"orthodox",3,"zoochoric",0.68,0.0668481548699335,10.4
"Alchornea glandulosa","Relatorio ROAM Bacia Gualaxo, Barbosa et al. 2017","Alchornea glandulosa","Alchornea glandulosa","possibly_ok",73.525,"orthodox",5,"zoochoric",0.4,0.0326641031410256,25
"Alchornea triplinervia","Relatorio ROAM Bacia Gualaxo, Barbosa et al. 2017, Urzedo et al. 2020","Alchornea triplinervia","Alchornea triplinervia","possibly_ok",81.7727272727273,"orthodox",4.1,"zoochoric",0.49,0.058980838018018,30.2
"Allophylus edulis","Gagetti et al. 2015, Barbosa et al. 2017","Allophylus edulis","Allophylus edulis","possibly_ok",64.7875,"orthodox",5.74,"zoochoric",0.65,0.0659114593802345,18.975
"Amburana cearensis","caminhosdasemente.org.br, Piña-Rodrigues et al. 2015","Amburana cearensis","Amburana cearensis","possibly_ok",222.133333333333,"orthodox",12.9,"anemochoric",0.575,0.809522799422799,20.4
"Anadenanthera colubrina","Altivo & Piña-Rodrigues 2017, Barbosa et al. 2017","Anadenanthera colubrina","Anadenanthera colubrina","possibly_ok",165.964285714286,"orthodox",12,"anemochoric|autochoric",0.93,0.110044460153232,29.4
"Anadenanthera peregrina","Projeto Vereda, Relatorio ROAM Bacia Gualaxo, Rolim et al. 2020","Anadenanthera peregrina","Anadenanthera peregrina","possibly_ok",138.825,"orthodox",14,"anemochoric",1.08,0.083962914087266,22
"Andira anthelmia (Vell.) Benth.","Barbosa et al. 2017","Andira anthelmia (Vell.) Benth.","Andira anthelmia","name_w_authors",108.975,"orthodox",30,"zoochoric",0.78,5.71428571428571,25
"Annona cacans","Gagetti et al. 2015, Altivo & Piña-Rodrigues 2017","Annona cacans","Annona cacans","possibly_ok",82.25,"intermediate",7,"zoochoric",0.55,0.112340898550658,22
"Annona crassiflora","caminhosdasemente.org.br, Barbosa et al. 2017","Annona crassiflora","Annona crassiflora","possibly_ok",113.2875,"intermediate",10,"zoochoric",0.56,1.28138528138528,9.93
"Apuleia leiocarpa","Relatorio ROAM Bacia Gualaxo, caminhosdasemente.org.br, Piña-Rodrigues et al. 2014, Barbosa et al. 2017","Apuleia leiocarpa","Apuleia leiocarpa","possibly_ok",55.1166666666667,"orthodox",6.21,"anemochoric",0.8371,0.0597863695303754,28
"Araucaria angustifolia","Barbosa et al. 2017, Urzedo et al. 2020, Rolim et al. 2020","Araucaria angustifolia","Araucaria angustifolia","possibly_ok",176.642857142857,"recalcitrant",12,"zoochoric",0.55,6.59694835680751,42.8
"Aspidosperma australe Müll.Arg.","Barbosa et al. 2017","Aspidosperma australe Müll.Arg.","Aspidosperma australe","name_w_authors",56.4,"orthodox",25,"anemochoric",0.83,0.170403845,32.896
"Aspidosperma cylindrocarpon","caminhosdasemente.org.br, Gagetti et al. 2015, Barbosa et al. 2017","Aspidosperma cylindrocarpon","Aspidosperma cylindrocarpon","possibly_ok",96,"orthodox",16.6,"anemochoric",0.716233333,0.19139566395664,28.4
"Aspidosperma pyrifolium","caminhosdasemente.org.br","Aspidosperma pyrifolium","Aspidosperma pyrifolium","possibly_ok",114.883333333333,"orthodox",42,"anemochoric",0.79,0.333333333333333,17
"Aspidosperma subincanum","caminhosdasemente.org.br, Barbosa et al. 2017","Aspidosperma subincanum","Aspidosperma subincanum","possibly_ok",54.62,"orthodox",32,"anemochoric",0.838,0.263157894736842,16
"Astronium fraxinifolium","Projeto Vereda, caminhosdasemente.org.br","Astronium fraxinifolium","Astronium fraxinifolium","possibly_ok",92.8,"orthodox",2,"anemochoric",0.908166667,0.0659717592592593,20
"Astronium graveolens","caminhosdasemente.org.br, Gagetti et al. 2015, Barbosa et al. 2017, Rolim et al. 2020","Astronium graveolens","Astronium graveolens","possibly_ok",77.8,"orthodox",1.88,"anemochoric",0.892708333,0.0295020069731329,30
"Bauhinia forficata","Gagetti et al. 2015, Altivo & Piña-Rodrigues 2017, Barbosa et al. 2017","Bauhinia forficata","Bauhinia forficata","possibly_ok",28.5,"orthodox",8,"autochoric",0.66,0.127521758484341,16
