"","species","countryCode","stateProvince","locality","decimalLongitude","decimalLatitude","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","collectionCode","decimalLongitude.1","decimalLatitude.1","optional"
"407","Trichilia pallida","BR","Mg","Área do UHE Simplício - RJ - MG.",-43.090277,-21.086111,1,1095239880,"Meliaceae","SPECIES",NA,2006,"PRESERVED_SPECIMEN","Cenargen","CEN",-43.090277,-21.086111,TRUE
"408","Casearia sylvestris","BR","Mg","Área do UHE Simplício - RJ - MG.",-43.090277,-21.086111,5,1095239899,"Salicaceae","SPECIES",NA,2006,"PRESERVED_SPECIMEN","Cenargen","CEN",-43.090277,-21.086111,TRUE
"409","Croton urucurana","BR","Mg","Área do UHE Simplício - RJ - MG.",-43.090277,-21.086111,4,1095239885,"Euphorbiaceae","SPECIES",NA,2006,"PRESERVED_SPECIMEN","Cenargen","CEN",-43.090277,-21.086111,TRUE
"422","Ficus obtusiuscula","BR","Mg","Área do UHE Simplício - RJ - MG.",-43.090277,-21.086111,4,1095239902,"Moraceae","SPECIES",NA,2006,"PRESERVED_SPECIMEN","Cenargen","CEN",-43.090277,-21.086111,TRUE
"423","Anadenanthera colubrina","BR","Mg","Área do UHE Simplício - RJ - MG.",-43.090277,-21.086111,4,1095239894,"Fabaceae","SPECIES",NA,2006,"PRESERVED_SPECIMEN","Cenargen","CEN",-43.090277,-21.086111,TRUE
"424","Guarea macrophylla","BR","Mg","Área do UHE Simplício - RJ - MG.",-43.090277,-21.086111,4,1095239889,"Meliaceae","SPECIES",NA,2006,"PRESERVED_SPECIMEN","Cenargen","CEN",-43.090277,-21.086111,TRUE
"425","Guarea macrophylla","BR","Mg","Área do UHE Simplício - RJ - MG.",-43.090277,-21.086111,4,1095239890,"Meliaceae","SPECIES",NA,2006,"PRESERVED_SPECIMEN","Cenargen","CEN",-43.090277,-21.086111,TRUE
"1073","Diplusodon virgatus","BR","Mg","Base del Pico Itacolomi. Borde de selva.",-43.5,-20.4,1,1095200779,"Lythraceae","SPECIES",NA,1990,"PRESERVED_SPECIMEN","Cenargen","CEN",-43.5,-20.4,TRUE
"1307","Xylopia aromatica","BR","Mg","Serra do Cipo. Rodovia MG-010 entre Santana do Riacho e Conceição do Mato Dentro.",-43.430277,-19.064444,1,2285833316,"Annonaceae","SPECIES",NA,2012,"PRESERVED_SPECIMEN","Cenargen","CEN",-43.430277,-19.064444,TRUE
"1696","Dalbergia nigra","BR","Mg","1 km south of Viçosa.",-42.869722,-20.780555,1,1913578712,"Fabaceae","SPECIES",NA,2013,"PRESERVED_SPECIMEN","Cenargen","CEN",-42.869722,-20.780555,TRUE
"1787","Manihot pilosa","BR","Mg","17 km a sudeste de Mariana, ao longo da BR - 356, rumo a Ponte Nova.",-43.25,-20.38333,4,1095194730,"Euphorbiaceae","SPECIES",NA,1986,"PRESERVED_SPECIMEN","Cenargen","CEN",-43.25,-20.38333,TRUE
"1788","Manihot pilosa","BR","Mg","19 km da rodovia BR-356, trecho Mariana - Ponte Nova.",-43.25,-20.38333,4,1095194694,"Euphorbiaceae","SPECIES",NA,1986,"PRESERVED_SPECIMEN","Cenargen","CEN",-43.25,-20.38333,TRUE
"1789","Manihot pilosa","BR","Mg","40 km a SE de Mariana, ao longo da rodovia BR-356, rumo a Ponte Nova.",-43,-20.41667,2,1095194799,"Euphorbiaceae","SPECIES",NA,1986,"PRESERVED_SPECIMEN","Cenargen","CEN",-43,-20.41667,TRUE
"1791","Manihot pilosa","BR","Mg","23 km a SE de Viçosa, ao longo da rodovia BR-265, rumo a Visconde do Rio Branco.",-42.83333,-20.83333,2,1095194752,"Euphorbiaceae","SPECIES",NA,1986,"PRESERVED_SPECIMEN","Cenargen","CEN",-42.83333,-20.83333,TRUE
"1801","Manihot pilosa","BR","Mg","7 km a noroeste de Serro, ao longo da BR-259, rumo a Datas.",-43.33333,-18.5,6,1095194745,"Euphorbiaceae","SPECIES",NA,1986,"PRESERVED_SPECIMEN","Cenargen","CEN",-43.33333,-18.5,TRUE
"1802","Manihot pilosa","BR","Mg","7 km a noroeste de Serro, ao longo da BR-259, rumo a Datas.",-43.33333,-18.46667,1,1095194707,"Euphorbiaceae","SPECIES",NA,1986,"PRESERVED_SPECIMEN","Cenargen","CEN",-43.33333,-18.46667,TRUE
"1803","Manihot pilosa","BR","Mg","7 km a noroeste de Serro, ao longo da BR - 259, rumo a Datas.",-43.33333,-18.46667,1,1095194759,"Euphorbiaceae","SPECIES",NA,1986,"PRESERVED_SPECIMEN","Cenargen","CEN",-43.33333,-18.46667,TRUE
"1810","Manihot pilosa","BR","Mg","7 km a noroeste de Serro, ao longo da BR-259, rumo a Datas.",-43.33333,-18.5,3,1095194720,"Euphorbiaceae","SPECIES",NA,1986,"PRESERVED_SPECIMEN","Cenargen","CEN",-43.33333,-18.5,TRUE
"3121","Anadenanthera peregrina","BR","Mg","Praça Santa Rita.",-42.650833,-19.765833,5,1095246256,"Fabaceae","VARIETY",NA,2000,"PRESERVED_SPECIMEN","Cenargen","CEN",-42.650833,-19.765833,TRUE
"3122","Apuleia leiocarpa","BR","Mg","Estrada da Lagoa Romualdo.",-42.596944,-19.8475,5,1095246269,"Fabaceae","SPECIES",NA,2000,"PRESERVED_SPECIMEN","Cenargen","CEN",-42.596944,-19.8475,TRUE
"3177","Verbesina glabrata","BR","Es","Liberdade (Água Viva, Pedra do Cruzeiro) Prop. Aguilar A. Lovucini , Alt: 150 - 850 m (Cruzeiro a Gruta)",-40.551666,-19.348055,1,2285834094,"Asteraceae","SPECIES",NA,2006,"PRESERVED_SPECIMEN","Cenargen","CEN",-40.551666,-19.348055,TRUE
"3303","Myrcia eriocalyx","BR","Mg","Brasil, Minas Gerais, Catas Altas, RPPN Serra do Caraça, mirante na estrada para a Sede da RPPN, chegando no santuário.",-43.498611,-20.0925,1,1095260288,"Myrtaceae","SPECIES",NA,2012,"PRESERVED_SPECIMEN","Cenargen","CEN",-43.498611,-20.0925,TRUE
"3355","Myrciaria glanduliflora","BR","Mg","Margem da BR-381, entre São Gonçalo do Rio Abaixo e João Monlevade, próximo à primeira.",-42.865,-19.868611,1,1095260189,"Myrtaceae","SPECIES",NA,2012,"PRESERVED_SPECIMEN","Cenargen","CEN",-42.865,-19.868611,TRUE
"3358","Myrciaria glanduliflora","BR","Mg","Brasil, Minas Gerais, São Gonçalo do Rio Abaixo, Estação Ecológica de Peti, estrada para o mirante do cruzeiro.",-43.368333,-19.889444,1,1095260223,"Myrtaceae","SPECIES",NA,2012,"PRESERVED_SPECIMEN","Cenargen","CEN",-43.368333,-19.889444,TRUE
"3424","Eugenia laruotteana","BR","Mg","Margem da estrada de terra da Cabeça de Boi (Santana do Rio Negro) para a Cachoeira do Chiquinho, morro em frente a Cachoeira.",-43.430833,-19.415,1,1265927679,"Myrtaceae","SPECIES",NA,2012,"PRESERVED_SPECIMEN","Cenargen","CEN",-43.430833,-19.415,TRUE
"3458","Ocotea lancifolia","BR","Es","Reserva Natural Vale , Municipal Canto Grande",-39.955555,-19.247777,1,2285834216,"Lauraceae","SPECIES",NA,2014,"PRESERVED_SPECIMEN","Cenargen","CEN",-39.955555,-19.247777,TRUE
"3521","Verbesina glabrata","BR","Mg","Encosta da estrada, barranco, na entrada da cidade de Ouro Preto.",-43.538055,-20.376111,9,2285833886,"Asteraceae","SPECIES",NA,2015,"PRESERVED_SPECIMEN","Cenargen","CEN",-43.538055,-20.376111,TRUE
"3578","Aniba firmula","BR","Mg","Distrito de Santana do Rio preto. Cabeça de Boi. Mata do Cachoeirão. Próximo a estrada das Posses.",-43.432777,-19.431944,1,3127348399,"Lauraceae","SPECIES",NA,2011,"PRESERVED_SPECIMEN","Cenargen","CEN",-43.432777,-19.431944,TRUE
"3737","Jacaratia spinosa","BR","Rj","Sítio Palmital do Sr. Gilmar Valente. Rod. Viçosa - Paula Cândido cerca de 10 km.",-42.851388,-20.813888,7,1095241278,"Caricaceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","Cenargen","CEN",-42.851388,-20.813888,TRUE
"3827","Andira fraxinifolia","BR","Es","Margem da Lagoa Juparanã, Três Pontas.",-40.085833,-19.304722,1,3127348646,"Fabaceae","SPECIES",NA,2019,"PRESERVED_SPECIMEN","Cenargen","CEN",-40.085833,-19.304722,TRUE
"3847","Senna cana","BR","Es","Serra do Alto Mutum Preto, Pedra da Colina, caminho para a rampa do vôo livre. Inselberg gnaisse.",-40.875,-19.231388,1,3127348690,"Fabaceae","SPECIES",NA,2019,"PRESERVED_SPECIMEN","Cenargen","CEN",-40.875,-19.231388,TRUE
"3850","Cordia trichotoma","BR","Es","Pedra Santa Luzia. Parte de mata anterior ao final da estrada na subida.",-40.467222,-19.288055,1,3127348692,"Cordiaceae","SPECIES",NA,2019,"PRESERVED_SPECIMEN","Cenargen","CEN",-40.467222,-19.288055,TRUE
"4103","Manihot pilosa","BR","Mg","BR - 262, a 15,8 km do rio Doce, e a 43,7 km do trevo de acesso a Ouro Preto.",-42.9,-19.983333,2,1265929335,"Euphorbiaceae","SPECIES",NA,1994,"PRESERVED_SPECIMEN","Cenargen","CEN",-42.9,-19.983333,TRUE
