"","species","countryCode","stateProvince","locality","decimalLongitude","decimalLatitude","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","collectionCode","geometry"
"1","Trichilia pallida","BR","Mg","Área do UHE Simplício - RJ - MG.",-43.090277,-21.086111,1,1095239880,"Meliaceae","SPECIES",NA,2006,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.090277, -21.086111)
"2","Casearia sylvestris","BR","Mg","Área do UHE Simplício - RJ - MG.",-43.090277,-21.086111,5,1095239899,"Salicaceae","SPECIES",NA,2006,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.090277, -21.086111)
"3","Croton urucurana","BR","Mg","Área do UHE Simplício - RJ - MG.",-43.090277,-21.086111,4,1095239885,"Euphorbiaceae","SPECIES",NA,2006,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.090277, -21.086111)
"4","Ficus obtusiuscula","BR","Mg","Área do UHE Simplício - RJ - MG.",-43.090277,-21.086111,4,1095239902,"Moraceae","SPECIES",NA,2006,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.090277, -21.086111)
"5","Anadenanthera colubrina","BR","Mg","Área do UHE Simplício - RJ - MG.",-43.090277,-21.086111,4,1095239894,"Fabaceae","SPECIES",NA,2006,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.090277, -21.086111)
"6","Guarea macrophylla","BR","Mg","Área do UHE Simplício - RJ - MG.",-43.090277,-21.086111,4,1095239889,"Meliaceae","SPECIES",NA,2006,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.090277, -21.086111)
"7","Guarea macrophylla","BR","Mg","Área do UHE Simplício - RJ - MG.",-43.090277,-21.086111,4,1095239890,"Meliaceae","SPECIES",NA,2006,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.090277, -21.086111)
"8","Diplusodon virgatus","BR","Mg","Base del Pico Itacolomi. Borde de selva.",-43.5,-20.4,1,1095200779,"Lythraceae","SPECIES",NA,1990,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.5, -20.4)
"9","Xylopia aromatica","BR","Mg","Serra do Cipo. Rodovia MG-010 entre Santana do Riacho e Conceição do Mato Dentro.",-43.430277,-19.064444,1,2285833316,"Annonaceae","SPECIES",NA,2012,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.430277, -19.064444)
"10","Dalbergia nigra","BR","Mg","1 km south of Viçosa.",-42.869722,-20.780555,1,1913578712,"Fabaceae","SPECIES",NA,2013,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-42.869722, -20.780555)
